sleepHours,exerciseMinutes,mood,stress,discipline,empathy,label
10,54,1,1,1,4,Perlu Perhatian
7,41,2,4,4,5,Baik
8,50,3,5,5,1,Sangat Baik
10,16,5,3,4,3,Luar Biasa
6,4,5,1,3,1,Baik
8,28,1,4,3,1,Perlu Perhatian
8,3,1,3,5,2,Perlu Perhatian
10,9,3,2,1,3,Perlu Perhatian
5,55,4,2,1,1,Perlu Perhatian
6,16,2,3,2,4,Baik
10,9,1,1,5,1,Perlu Perhatian
6,16,5,2,4,4,Baik
6,59,3,5,5,2,Baik
8,19,2,3,2,1,Baik
7,23,3,3,5,5,Baik
6,4,2,2,5,2,Baik
9,33,2,1,2,4,Baik
8,5,1,5,1,2,Perlu Perhatian
5,52,3,1,4,1,Perlu Perhatian
7,1,3,4,2,3,Baik
9,12,5,4,3,3,Sangat Baik
9,42,5,2,1,4,Perlu Perhatian
5,42,1,2,3,4,Perlu Perhatian
7,47,1,2,1,3,Perlu Perhatian
8,10,4,4,4,4,Sangat Baik
4,50,5,1,4,2,Perlu Perhatian
7,46,2,1,5,5,Baik
5,56,3,2,3,5,Perlu Perhatian
9,22,1,5,1,2,Perlu Perhatian
8,54,3,1,4,5,Sangat Baik
7,15,3,4,2,1,Baik
4,30,4,3,4,2,Perlu Perhatian
4,10,5,3,2,4,Perlu Perhatian
6,53,1,3,1,2,Perlu Perhatian
6,15,3,5,4,3,Baik
10,7,1,2,4,4,Perlu Perhatian
5,3,2,4,1,3,Perlu Perhatian
7,39,4,5,4,4,Baik
7,3,2,4,2,5,Baik
10,55,1,4,4,2,Perlu Perhatian
9,24,1,2,3,1,Perlu Perhatian
9,2,5,3,5,4,Luar Biasa
10,31,3,2,2,4,Baik
9,2,3,5,3,3,Sangat Baik
6,26,2,5,1,5,Perlu Perhatian
7,28,4,5,2,3,Baik
10,31,3,2,5,3,Sangat Baik
7,49,5,4,5,5,Baik
4,60,2,4,1,1,Perlu Perhatian
6,57,2,1,1,3,Perlu Perhatian
8,50,5,5,2,3,Baik
6,18,4,4,4,4,Baik
10,20,5,1,1,5,Perlu Perhatian
8,4,4,4,4,2,Sangat Baik
4,17,5,5,3,1,Perlu Perhatian
10,27,5,3,5,1,Luar Biasa
5,41,1,5,4,5,Perlu Perhatian
7,60,2,2,5,4,Baik
4,21,5,4,4,4,Perlu Perhatian
7,20,5,4,3,5,Baik
9,5,3,2,1,4,Perlu Perhatian
5,0,2,2,3,1,Perlu Perhatian
5,4,3,3,1,1,Perlu Perhatian
4,40,2,4,1,2,Perlu Perhatian
5,11,3,4,5,5,Perlu Perhatian
8,25,5,3,3,3,Sangat Baik
5,45,5,1,4,3,Perlu Perhatian
7,33,1,3,3,2,Perlu Perhatian
7,48,3,5,5,2,Baik
10,13,4,4,1,4,Perlu Perhatian
7,25,1,2,5,2,Perlu Perhatian
10,44,3,5,2,2,Baik
7,26,3,4,2,3,Baik
8,8,1,3,4,4,Perlu Perhatian
10,25,5,5,5,2,Luar Biasa
6,56,3,4,4,2,Baik
9,46,5,1,4,4,Luar Biasa
4,56,1,1,2,5,Perlu Perhatian
7,21,5,2,4,4,Baik
5,46,2,4,2,3,Perlu Perhatian
7,55,4,1,1,5,Perlu Perhatian
5,29,3,3,5,1,Perlu Perhatian
9,42,4,4,4,4,Luar Biasa
9,47,5,3,2,3,Baik
9,60,3,3,3,5,Sangat Baik
5,16,5,1,4,4,Perlu Perhatian
7,25,2,4,1,2,Perlu Perhatian
9,35,1,5,1,4,Perlu Perhatian
8,0,3,1,3,1,Sangat Baik
10,7,2,1,2,4,Baik
5,48,2,4,4,5,Perlu Perhatian
5,34,3,4,2,5,Perlu Perhatian
7,60,5,3,1,4,Perlu Perhatian
5,51,2,4,2,5,Perlu Perhatian
5,14,4,3,1,2,Perlu Perhatian
9,46,2,1,2,4,Baik
7,55,5,2,3,2,Baik
9,21,5,5,5,2,Luar Biasa
10,13,4,1,3,3,Sangat Baik
10,25,2,4,3,4,Baik
9,27,5,5,5,5,Luar Biasa
10,22,3,2,5,2,Sangat Baik
7,13,1,2,4,3,Perlu Perhatian
4,23,1,3,4,4,Perlu Perhatian
9,1,1,5,3,4,Perlu Perhatian
8,44,2,3,3,1,Baik
8,25,4,1,1,1,Perlu Perhatian
5,13,5,5,1,2,Perlu Perhatian
10,58,3,1,4,1,Sangat Baik
8,55,3,3,4,2,Sangat Baik
5,50,2,5,1,5,Perlu Perhatian
4,6,1,3,1,2,Perlu Perhatian
7,2,2,5,2,1,Baik
7,46,4,3,2,5,Baik
7,22,4,2,1,1,Perlu Perhatian
8,45,5,3,2,2,Baik
4,42,5,2,5,3,Perlu Perhatian
8,46,4,3,4,4,Sangat Baik
10,59,4,5,4,1,Luar Biasa
8,44,4,5,1,2,Perlu Perhatian
4,17,2,5,3,5,Perlu Perhatian
4,57,4,4,1,1,Perlu Perhatian
10,37,3,1,2,1,Baik
4,34,1,5,3,4,Perlu Perhatian
4,50,4,2,2,2,Perlu Perhatian
7,14,1,5,5,3,Perlu Perhatian
10,24,2,4,2,5,Baik
6,54,1,2,5,2,Perlu Perhatian
6,36,2,4,5,5,Baik
4,27,3,2,2,1,Perlu Perhatian
6,9,2,3,2,4,Baik
6,38,2,1,5,4,Baik
4,56,5,1,3,3,Perlu Perhatian
6,16,4,4,5,4,Baik
